"path","method","parameters","response"
"/v2/Places/Groups","GET","[{""name"":""parentReachGroupId"",""in"":""query"",""description"":""Reach group information"",""required"":false,""type"":""integer"",""format"":""int32""},{""name"":""query"",""in"":""query"",""description"":""Searches, name, city, state of place record"",""required"":false,""type"":""string"",""default"":""""},{""name"":""latitude"",""in"":""query"",""description"":""Latitude to base search from"",""required"":false,""type"":""number"",""format"":""double""},{""name"":""longitude"",""in"":""query"",""description"":""Longitude to base search from"",""required"":false,""type"":""number"",""format"":""double""},{""name"":""radius"",""in"":""query"",""description"":""Radius of search"",""required"":false,""type"":""number"",""format"":""double""},{""name"":""brandId"",""in"":""query"",""description"":""Id of brand"",""required"":false,""type"":""integer"",""format"":""int32""},{""name"":""page"",""in"":""query"",""description"":""Page number"",""required"":false,""type"":""integer"",""format"":""int32"",""default"":1},{""name"":""limit"",""in"":""query"",""description"":""Number of records to grab"",""required"":false,""type"":""integer"",""format"":""int32"",""default"":10},{""name"":""usePropertyGroups"",""in"":""query"",""description"":""Optional override for applications use property groups"",""required"":false,""type"":""boolean""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Models.Place.PlaceSearchModel"":{""type"":""object"",""properties"":{""hotel_count"":{""format"":""int32"",""type"":""integer""},""reach_group_id"":{""format"":""int32"",""type"":""integer""},""parent_reach_group_id"":{""format"":""int32"",""type"":""integer""},""reach_groups"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Models.ReachGroup.ReachGroupBaseModel""}},""hotels"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Models.HotelSearchModel""}}}}}}}}"
"/v1/Places/Groups/WithWaitTime","GET","[{""name"":""query"",""in"":""query"",""description"":""Searches, name, city, state of place record"",""required"":false,""type"":""string""},{""name"":""latitude"",""in"":""query"",""description"":""Latitude to base search from"",""required"":false,""type"":""number"",""format"":""double""},{""name"":""longitude"",""in"":""query"",""description"":""Longitude to base search from"",""required"":false,""type"":""number"",""format"":""double""},{""name"":""radius"",""in"":""query"",""description"":""Radius of search"",""required"":false,""type"":""number"",""format"":""double""},{""name"":""page"",""in"":""query"",""description"":""Page number"",""required"":false,""type"":""integer"",""format"":""int32"",""default"":1},{""name"":""limit"",""in"":""query"",""description"":""Number of records to grab"",""required"":false,""type"":""integer"",""format"":""int32"",""default"":10}]","{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Models.Place.PlaceSearchWaitModel""}}}}"
"/v1/Proxce/RegisterProfile","POST","[{""name"":""profile"",""in"":""body"",""required"":true,""schema"":{""$ref"":""MonsciergeIDK.Integrations.PMS.Proxce.Models.API.ProxceRegistration""}}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Integrations.Base.Models.Profile.ProfileModel"":{""type"":""object"",""properties"":{""ids"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""emails"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""phones"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""dates"":{""type"":""object"",""additionalProperties"":{""format"":""date-time"",""type"":""string""}},""addresses"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Locations.Models.LocationModel""}},""social"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Profile.SocialModel""}},""remarks"":{""type"":""array"",""items"":{""type"":""string""}},""preferences"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.PreferenceModel""}},""additional_info"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.AdditionalInfoModel""}},""title"":{""type"":""string""},""first_name"":{""type"":""string""},""last_name"":{""type"":""string""},""avatar"":{""type"":""string""},""company"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Profile.CompanyModel""}}}}}}}"
"/v1/Proxce/GetReservations","GET","[{""name"":""demo"",""in"":""query"",""description"":""Returns demo data when true"",""required"":false,""type"":""boolean"",""default"":false}]","{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Reservation.ReservationModel""}}}}"
"/v2/Proxce/ConfirmStay","POST","[{""name"":""confirmation"",""in"":""body"",""required"":true,""schema"":{""$ref"":""MonsciergeIDK.Integrations.PMS.Proxce.Models.API.ProxceConfirmStayBody""}},{""name"":""demo"",""in"":""query"",""required"":false,""type"":""boolean"",""default"":false}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Integrations.Base.Models.Profile.ProfileModel"":{""type"":""object"",""properties"":{""ids"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""emails"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""phones"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""dates"":{""type"":""object"",""additionalProperties"":{""format"":""date-time"",""type"":""string""}},""addresses"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Locations.Models.LocationModel""}},""social"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Profile.SocialModel""}},""remarks"":{""type"":""array"",""items"":{""type"":""string""}},""preferences"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.PreferenceModel""}},""additional_info"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.AdditionalInfoModel""}},""title"":{""type"":""string""},""first_name"":{""type"":""string""},""last_name"":{""type"":""string""},""avatar"":{""type"":""string""},""company"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Profile.CompanyModel""}}}}}}}"
"/v1/Proxce/GetReservationsWithResId","GET","[{""name"":""resId"",""in"":""query"",""description"":""Id of the reservation"",""required"":true,""type"":""string""},{""name"":""amenityId"",""in"":""query"",""description"":""Depracated"",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Integrations.Base.Models.Reservation.ReservationModel"":{""type"":""object"",""properties"":{""feature_id"":{""type"":""string""},""user_id"":{""format"":""int32"",""type"":""integer""},""place_id"":{""type"":""string""},""image_path"":{""type"":""string""},""first_name"":{""type"":""string""},""last_name"":{""type"":""string""},""email"":{""type"":""string""},""salutation"":{""type"":""string""},""reservation_date_time"":{""format"":""date-time"",""type"":""string""},""phone_number"":{""type"":""string""},""special_request"":{""type"":""string""},""comments"":{""type"":""string""},""venue_id"":{""type"":""string""},""venue_name"":{""type"":""string""},""country_code"":{""type"":""string""},""id"":{""type"":""string""},""party_size"":{""format"":""int32"",""type"":""integer""},""additional_info"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.AdditionalInfoModel""}}}}}}}}"
"/v2/Proxce/CreateReservation","POST","[{""name"":""reservation"",""in"":""body"",""description"":""Reservation model wrapper"",""required"":true,""schema"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Reservation.ReservationModel""}},{""name"":""demo"",""in"":""query"",""description"":""if true return dummy data"",""required"":false,""type"":""boolean"",""default"":false}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Integrations.Base.Models.Reservation.ReservationModel"":{""type"":""object"",""properties"":{""feature_id"":{""type"":""string""},""user_id"":{""format"":""int32"",""type"":""integer""},""place_id"":{""type"":""string""},""image_path"":{""type"":""string""},""first_name"":{""type"":""string""},""last_name"":{""type"":""string""},""email"":{""type"":""string""},""salutation"":{""type"":""string""},""reservation_date_time"":{""format"":""date-time"",""type"":""string""},""phone_number"":{""type"":""string""},""special_request"":{""type"":""string""},""comments"":{""type"":""string""},""venue_id"":{""type"":""string""},""venue_name"":{""type"":""string""},""country_code"":{""type"":""string""},""id"":{""type"":""string""},""party_size"":{""format"":""int32"",""type"":""integer""},""additional_info"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.AdditionalInfoModel""}}}}}}}}"
"/v2/Proxce/UpdateReservation","PUT","[{""name"":""reservation"",""in"":""body"",""description"":""Reservation model"",""required"":true,""schema"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Reservation.ReservationModel""}}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Integrations.Base.Models.Reservation.ReservationModel"":{""type"":""object"",""properties"":{""feature_id"":{""type"":""string""},""user_id"":{""format"":""int32"",""type"":""integer""},""place_id"":{""type"":""string""},""image_path"":{""type"":""string""},""first_name"":{""type"":""string""},""last_name"":{""type"":""string""},""email"":{""type"":""string""},""salutation"":{""type"":""string""},""reservation_date_time"":{""format"":""date-time"",""type"":""string""},""phone_number"":{""type"":""string""},""special_request"":{""type"":""string""},""comments"":{""type"":""string""},""venue_id"":{""type"":""string""},""venue_name"":{""type"":""string""},""country_code"":{""type"":""string""},""id"":{""type"":""string""},""party_size"":{""format"":""int32"",""type"":""integer""},""additional_info"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.AdditionalInfoModel""}}}}}}}}"
"/v1/Proxce/DeleteFBReservation","DELETE","[{""name"":""amenityId"",""in"":""query"",""description"":""Id of the amenity"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""reservationId"",""in"":""query"",""description"":""Id of the reservation"",""required"":true,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""System.Object"":{""title"":""object"",""type"":""object"",""properties"":{}}}}}}"
"/v1/Proxce/FBAvailability","GET","[{""name"":""amenityId"",""in"":""query"",""description"":""Amenity Id"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""date"",""in"":""query"",""description"":""String formatted date eg \"20160928\""",""required"":true,""type"":""string""},{""name"":""startTime"",""in"":""query"",""description"":""String time in military format eg \"1900\""",""required"":true,""type"":""string""},{""name"":""endTime"",""in"":""query"",""description"":""String time in military format eg \"2100\""",""required"":true,""type"":""string""},{""name"":""partySize"",""in"":""query"",""description"":""Int for party size"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""pimToken"",""in"":""query"",""description"":""Proxce's device token, required if anonymous"",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""System.Object"":{""title"":""object"",""type"":""object"",""properties"":{}}}}}}"
"/v1/Places/{placeId}/NearbyRecommendations","GET","[{""name"":""placeId"",""in"":""path"",""description"":""Id of the place."",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""latitude"",""in"":""query"",""description"":""Latitude"",""required"":true,""type"":""number"",""format"":""float""},{""name"":""longitude"",""in"":""query"",""description"":""Longitude"",""required"":true,""type"":""number"",""format"":""float""},{""name"":""radius"",""in"":""query"",""description"":""Search radius (meters)"",""required"":true,""type"":""number"",""format"":""float""},{""name"":""search"",""in"":""query"",""description"":""Search query"",""required"":false,""type"":""string""},{""name"":""orderBy"",""in"":""query"",""description"":""Order by field of the search results. Current values are 'distance', 'dollar_range', or 'name'."",""required"":false,""type"":""string"",""default"":""distance""},{""name"":""sortOrder"",""in"":""query"",""description"":""Sort order of the search results. Current values are 'ascending' or 'descending'."",""required"":false,""type"":""string"",""default"":""ascending""},{""name"":""categoryId"",""in"":""query"",""description"":""Restrict results to a specific category id."",""required"":false,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Enterprise.EnterpriseListModel""}}}}"
"/v1/Users/Me/Subscriptions","GET",,"{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Subscription.SubscriptionModel""}}}}"
"/v1/Users/Me/Surveys/{surveyId}","GET","[{""name"":""surveyId"",""in"":""path"",""description"":"""",""required"":true,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Integrations.Base.Models.Survey.SurveyModel"":{""type"":""object"",""properties"":{""id"":{""type"":""string""},""name"":{""type"":""string""},""description"":{""type"":""string""},""questions"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Survey.SurveyQuestionModel""}},""additional_info"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.AdditionalInfoModel""}}}}}}}}"
"/v1/Surveys","GET",,"{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Survey.SurveyModel""}}}}"
"/v1/Places/{placeId}/Theme","GET","[{""name"":""placeId"",""in"":""path"",""description"":"""",""required"":true,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""object"",""additionalProperties"":{""$ref"":""System.Object""}}}}"
"/v1/Users/Me/Requests/{requestId}","GET","[{""name"":""requestId"",""in"":""path"",""description"":""Id of the request."",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""staff"",""in"":""query"",""description"":""Include staff requests."",""required"":false,""type"":""boolean"",""default"":true},{""name"":""culture"",""in"":""query"",""description"":""Client culture. e.g. \"en_US\""",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.Request.RequestCommonModel"":{""title"":""request_common"",""type"":""object"",""properties"":{""values"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Request.RequestOptionValueModel""}},""created_ms"":{""format"":""int64"",""description"":""The time the request was created as a unix timestamp in milliseconds."",""default"":1432717500000,""type"":""integer""},""eta_ms"":{""format"":""int64"",""description"":""The ETA the request should be completed as a unix timestamp in milliseconds."",""default"":1432717500000,""type"":""integer""},""group"":{""$ref"":""MonsciergeAPI.Models.Request.Group.RequestGroupBaseModel""},""following"":{""description"":""Whether or not the user is following the request. <code>True</code> for following, <code>false</code> if not."",""type"":""boolean""},""latest_action_ms"":{""format"":""int64"",""description"":""The time the last action was created on the request as a unix timestamp in milliseconds."",""default"":1432717500000,""type"":""integer""},""requester_user"":{""$ref"":""MonsciergeAPI.Models.User.UserModel""},""status"":{""description"":""The status of the request."",""enum"":[""NEW"",""ACK"",""CLOSED"",""ARCHIVED"",""DELETED"",""PENDING_APPROVAL""],""type"":""string""},""template"":{""$ref"":""MonsciergeAPI.Models.Request.Template.RequestTemplateBaseModel""},""unread"":{""description"":""Whether or not the request is unread. <code>True</code> for unread, <code>false</code> if not."",""type"":""boolean""},""visible"":{""description"":""Whether or not the request is visible. <code>True</code> for visible, <code>false</code> if not."",""type"":""boolean""},""room_number"":{""description"":""The room number for the request"",""type"":""string""},""can_send_message"":{""type"":""boolean""},""requested_for"":{""type"":""string""},""id"":{""format"":""int32"",""description"":""The request ID."",""default"":42,""type"":""integer""},""r_efid"":{""default"":""7267E21B-E9EE-40E9-98A3-80DC7F05CFCB"",""type"":""string""}}}}}}}"
"/v1/Users/Me/Stays","GET","[{""name"":""placeId"",""in"":""query"",""description"":""ID of place"",""required"":false,""type"":""integer"",""format"":""int32""},{""name"":""startDate"",""in"":""query"",""description"":""MM-DD-YYYY"",""required"":false,""type"":""string"",""format"":""date-time""},{""name"":""endDate"",""in"":""query"",""description"":""MM-DD-YYYY"",""required"":false,""type"":""string"",""format"":""date-time""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Stay.RoomStayModel""}}}}"
"/v1/Users/Me","GET",,"{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.User.UserModel"":{""title"":""user"",""type"":""object"",""properties"":{""check_out_ms"":{""format"":""int64"",""description"":""The time when the user is checking out as a unix timestamp in milliseconds."",""default"":1432717500000,""type"":""integer""},""account_id"":{""format"":""int32"",""type"":""integer""},""account_name"":{""type"":""string""},""emails"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Base.EmailModel""}},""phones"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Base.PhoneModel""}},""room"":{""description"":""The room number the user is checked into."",""default"":""216"",""type"":""string""},""default_lang"":{""description"":""The user's default language selection."",""default"":""en"",""type"":""string""},""single_place_id"":{""format"":""int32"",""type"":""integer""},""title"":{""description"":""The user's job title."",""default"":""Developer"",""type"":""string""},""default_role"":{""description"":""The user's default role"",""default"":""Admin"",""type"":""string""},""display_name"":{""description"":""The user's display name."",""default"":""JAppleseed1234"",""type"":""string""},""first_name"":{""description"":""The user's first name."",""default"":""Johnny"",""type"":""string""},""last_name"":{""description"":""The user's last name."",""default"":""Appleseed"",""type"":""string""},""image_url"":{""description"":""Url for the user's profile image"",""default"":""https://secure.gravatar.com/bg/1428/e9db3f026b7ce7748e58169cecb4980f"",""type"":""string""},""primary_email"":{""description"":""The user's primary email."",""default"":""johnny.appleseed@monscierge.com"",""type"":""string""},""primary_phone_number"":{""description"":""The user's primary phone number."",""default"":""(555) 555-5555"",""type"":""string""},""id"":{""format"":""int32"",""description"":""The user ID."",""default"":42,""type"":""integer""},""r_efid"":{""default"":""7267E21B-E9EE-40E9-98A3-80DC7F05CFCB"",""type"":""string""}}}}}}}"
"/v2/Users/Me","PUT","[{""name"":""updateProfile"",""in"":""body"",""required"":true,""schema"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Profile.ProfileModel""}}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Integrations.Base.Models.Profile.ProfileModel"":{""type"":""object"",""properties"":{""ids"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""emails"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""phones"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""dates"":{""type"":""object"",""additionalProperties"":{""format"":""date-time"",""type"":""string""}},""addresses"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Locations.Models.LocationModel""}},""social"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Profile.SocialModel""}},""remarks"":{""type"":""array"",""items"":{""type"":""string""}},""preferences"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.PreferenceModel""}},""additional_info"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.AdditionalInfoModel""}},""title"":{""type"":""string""},""first_name"":{""type"":""string""},""last_name"":{""type"":""string""},""avatar"":{""type"":""string""},""company"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Profile.CompanyModel""}}}}}}}"
"/v2/Users/Me","GET",,"{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Integrations.Base.Models.Profile.ProfileModel"":{""type"":""object"",""properties"":{""ids"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""emails"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""phones"":{""type"":""object"",""additionalProperties"":{""type"":""string""}},""dates"":{""type"":""object"",""additionalProperties"":{""format"":""date-time"",""type"":""string""}},""addresses"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Locations.Models.LocationModel""}},""social"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Profile.SocialModel""}},""remarks"":{""type"":""array"",""items"":{""type"":""string""}},""preferences"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.PreferenceModel""}},""additional_info"":{""type"":""object"",""additionalProperties"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Common.AdditionalInfoModel""}},""title"":{""type"":""string""},""first_name"":{""type"":""string""},""last_name"":{""type"":""string""},""avatar"":{""type"":""string""},""company"":{""$ref"":""MonsciergeIDK.Integrations.Base.Models.Profile.CompanyModel""}}}}}}}"
"/v1/Users/Account","POST","[{""name"":""firstName"",""in"":""query"",""description"":""User's first name."",""required"":true,""type"":""string""},{""name"":""lastName"",""in"":""query"",""description"":""User's last name."",""required"":true,""type"":""string""},{""name"":""email"",""in"":""query"",""description"":""User's email."",""required"":true,""type"":""string""},{""name"":""password"",""in"":""query"",""description"":""User's password."",""required"":true,""type"":""string""},{""name"":""phoneNumber"",""in"":""query"",""description"":""User's phone number"",""required"":false,""type"":""string"",""default"":""""},{""name"":""role"",""in"":""query"",""description"":""Role that user will have."",""required"":false,""type"":""string"",""default"":""""},{""name"":""reachGroupId"",""in"":""query"",""description"":""ID of reach group."",""required"":false,""type"":""integer"",""format"":""int32""},{""name"":""accountId"",""in"":""query"",""description"":""ID of account."",""required"":false,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.User.UserPlaceModel"":{""title"":""user_place"",""type"":""object"",""properties"":{""name"":{""type"":""string""},""email"":{""type"":""string""},""roles"":{""type"":""array"",""items"":{""type"":""string""}},""last_active_ms"":{""format"":""int64"",""type"":""integer""},""id"":{""format"":""int32"",""description"":""The {0} ID."",""default"":42,""type"":""integer""},""r_efid"":{""default"":""7267E21B-E9EE-40E9-98A3-80DC7F05CFCB"",""type"":""string""}}}}}}}"
"/v1/Users/Account","PUT","[{""name"":""firstName"",""in"":""query"",""description"":""User's first name."",""required"":true,""type"":""string""},{""name"":""lastName"",""in"":""query"",""description"":""User's last name."",""required"":true,""type"":""string""},{""name"":""email"",""in"":""query"",""description"":""New email address."",""required"":true,""type"":""string""},{""name"":""userId"",""in"":""query"",""description"":""ID for user to be updated (user ID)."",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""phone"",""in"":""query"",""description"":""New phone number."",""required"":false,""type"":""string""},{""name"":""role"",""in"":""query"",""description"":""Role for reach group."",""required"":false,""type"":""string"",""default"":""""},{""name"":""reachGroupId"",""in"":""query"",""description"":""ID for reach group."",""required"":false,""type"":""integer"",""format"":""int32""},{""name"":""accountId"",""in"":""query"",""description"":""ID for account."",""required"":false,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.User.UserPlaceModel"":{""title"":""user_place"",""type"":""object"",""properties"":{""name"":{""type"":""string""},""email"":{""type"":""string""},""roles"":{""type"":""array"",""items"":{""type"":""string""}},""last_active_ms"":{""format"":""int64"",""type"":""integer""},""id"":{""format"":""int32"",""description"":""The {0} ID."",""default"":42,""type"":""integer""},""r_efid"":{""default"":""7267E21B-E9EE-40E9-98A3-80DC7F05CFCB"",""type"":""string""}}}}}}}"
"/v1/Users/Me/Password","POST","[{""name"":""oldPassword"",""in"":""query"",""description"":""Old password"",""required"":true,""type"":""string""},{""name"":""newPassword"",""in"":""query"",""description"":""New password"",""required"":true,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""format"":""int32"",""type"":""integer""}}}"
"/v2/Users/SendVerificationEmail","POST",,"{""200"":{""description"":""OK"",""schema"":{""$ref"":{""System.Object"":{""title"":""object"",""type"":""object"",""properties"":{}}}}}}"
